feature,importance
BMI,0.36654801796829833
Weight,0.18203054266935498
Weight_Age_Ratio,0.07019743318060352
Height,0.05104483169296724
FCVC,0.05015230292844413
Gender,0.046337324356903
Age,0.04400723582126496
NCP,0.02233290544173679
FAF,0.019993963169269408
TUE,0.019186287416596472
CAEC,0.0182894669410696
CH2O,0.017017785810760345
Age_Category,0.016722651096974912
family_history,0.014570540577518765
CALC,0.014418060366896569
Risk_Score,0.01401859424893346
Healthy_Score,0.012826532491106003
MTRANS,0.008741087638676603
FAVC,0.008126070151783099
SCC,0.002689415569401097
SMOKE,0.0007489504614407082
